"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.category.label","Approve","Reject"
"33P2GD6NRPCJNDE9XWVCUZILX0ZHKF","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","35LDD5557DO72BDDEWGRAOL36W3KML","A3G692SR8JSW8A","Submitted","Fri Apr 26 05:20:43 PDT 2019","Fri Apr 26 05:21:56 PDT 2019","Mon Apr 29 05:21:56 PDT 2019","","","","73","100% (14/14)","100% (14/14)","100% (14/14)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Matthew_455_Lauren_796.png","Similar pair"
"33P2GD6NRPCJNDE9XWVCUZILX0ZHKF","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3WETL7AQWWS3Y6K01R76C0TF9FT537","AL1X9FLM7FU7M","Submitted","Fri Apr 26 05:23:02 PDT 2019","Fri Apr 26 05:29:21 PDT 2019","Mon Apr 29 05:29:21 PDT 2019","","","","379","100% (65/65)","100% (65/65)","100% (65/65)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Matthew_455_Lauren_796.png","Dissimilar pair"
"33P2GD6NRPCJNDE9XWVCUZILX0ZHKF","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3WJEQKOXABM4U9I29JK4WIU439F1AG","ASBI5SNCI3OZ8","Submitted","Fri Apr 26 05:21:23 PDT 2019","Fri Apr 26 05:23:53 PDT 2019","Mon Apr 29 05:23:53 PDT 2019","","","","150","100% (5/5)","100% (5/5)","100% (5/5)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Matthew_455_Lauren_796.png","Similar pair"
"3HXCEECSQOD0Y33K7X2A3E11R5PYZH","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3CN4LGXD508MIQDOC7HMX2JEIKRY4Z","A2L746JBCNW066","Submitted","Fri Apr 26 05:21:20 PDT 2019","Fri Apr 26 05:22:57 PDT 2019","Mon Apr 29 05:22:57 PDT 2019","","","","97","100% (70/70)","100% (70/70)","100% (70/70)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Maggie_555_Kevin_125.png","Dissimilar pair"
"3HXCEECSQOD0Y33K7X2A3E11R5PYZH","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3KXIR214I70WH5KHJMAROYI935X42P","A193TA3NZ5GGVW","Submitted","Fri Apr 26 05:21:33 PDT 2019","Fri Apr 26 05:47:50 PDT 2019","Mon Apr 29 05:47:50 PDT 2019","","","","1577","100% (43/43)","100% (43/43)","100% (43/43)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Maggie_555_Kevin_125.png","Similar pair"
"3HXCEECSQOD0Y33K7X2A3E11R5PYZH","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3ZY8KE4ISMNC315H5T1FT6GPWV6QVZ","A36Q3MQD2S9BCO","Submitted","Fri Apr 26 05:20:03 PDT 2019","Fri Apr 26 05:22:29 PDT 2019","Mon Apr 29 05:22:29 PDT 2019","","","","146","100% (64/64)","100% (64/64)","100% (64/64)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Maggie_555_Kevin_125.png","Dissimilar pair"
"3GV1I4SEOB9EAUCAMDG9C86ADMP6L7","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","31QTRG6Q2WX87JZ7AR9A00U99GMPYG","AFMF3YZXSYMVG","Submitted","Fri Apr 26 05:19:43 PDT 2019","Fri Apr 26 05:20:21 PDT 2019","Mon Apr 29 05:20:21 PDT 2019","","","","38","100% (35/35)","100% (35/35)","100% (35/35)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Sue_775_Lucas_598.png","Similar pair"
"3GV1I4SEOB9EAUCAMDG9C86ADMP6L7","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3300DTYQT51V1QJVA3C5T2S3W04EQI","A1LO39GCTK2JB5","Submitted","Fri Apr 26 05:20:41 PDT 2019","Fri Apr 26 05:21:06 PDT 2019","Mon Apr 29 05:21:06 PDT 2019","","","","25","0% (0/0)","0% (0/0)","0% (0/0)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Sue_775_Lucas_598.png","Similar pair"
"3GV1I4SEOB9EAUCAMDG9C86ADMP6L7","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","3LPW2N6LKWMNX0XJGB37Z9JFMSBU52","A1BWYUUIZXIEB9","Submitted","Fri Apr 26 05:20:51 PDT 2019","Fri Apr 26 05:22:11 PDT 2019","Mon Apr 29 05:22:11 PDT 2019","","","","80","100% (43/43)","100% (43/43)","100% (43/43)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Sue_775_Lucas_598.png","Similar pair"
"3VJ4PFXFJ5RIGMB7L4PMJ04FMW7UAE","39WEDTMWD81EF5HJVXXMJA9OMPSVXA","Visual face similarity","Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.","categorize, image, face, label, similarity","$0.01","Fri Apr 26 05:19:32 PDT 2019","3","BatchId:3621553;OriginalHitTemplateId:928390873;","10800","259200","Fri May 03 05:19:32 PDT 2019","","","32KTQ2V7RGZNLFUMAZP2KF7NV2S9MH","A1H8AABW86LBCO","Submitted","Fri Apr 26 05:21:51 PDT 2019","Fri Apr 26 05:21:59 PDT 2019","Mon Apr 29 05:21:59 PDT 2019","","","","8","100% (16/16)","100% (16/16)","100% (16/16)","https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Joey_26_Jon_432.png","Dissimilar pair"
