HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.category.label,Approve,Reject
3UOMW19E6FQPOMIQ4HD5HJ2NNGXC5A,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,32XVDSJFP2HCLV9NPQANASZ9PP8M2E,A3W0C04EXOY12C,Approved,Thu Apr 25 12:33:25 PDT 2019,Thu Apr 25 12:33:49 PDT 2019,Sun Apr 28 12:33:49 PDT 2019,Fri Apr 26 00:36:00 PDT 2019,,,24,100% (44/44),100% (44/44),100% (44/44),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Tina_404_Ian_295.png,Dissimilar pair,,
3UOMW19E6FQPOMIQ4HD5HJ2NNGXC5A,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3JRJSWSMQK53UPDTCS09GUZSM1I3EI,ATE8OIQFEVD0T,Approved,Thu Apr 25 12:35:51 PDT 2019,Thu Apr 25 12:36:00 PDT 2019,Sun Apr 28 12:36:00 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,9,100% (70/70),100% (70/70),100% (70/70),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Tina_404_Ian_295.png,Dissimilar pair,,
3UOMW19E6FQPOMIQ4HD5HJ2NNGXC5A,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3QAVNHZ3EPOHKGM62T2NGX3I18AAL7,A2LU259QPV1I4V,Approved,Thu Apr 25 12:32:37 PDT 2019,Thu Apr 25 12:35:04 PDT 2019,Sun Apr 28 12:35:04 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,147,100% (144/144),100% (144/144),100% (144/144),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Tina_404_Ian_295.png,Similar pair,,
3NRZ1LDP7YQ6PPBJGA6RQN8PNYJZPH,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,36ZN444YTUI4WJ81R9ASPCVV9LMIO2,A681XM15AN28F,Approved,Thu Apr 25 12:38:19 PDT 2019,Thu Apr 25 12:38:28 PDT 2019,Sun Apr 28 12:38:28 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,9,100% (228/228),100% (228/228),100% (228/228),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Jamie_693_Kyle_171.png,Dissimilar pair,,
3NRZ1LDP7YQ6PPBJGA6RQN8PNYJZPH,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3OWEPKL08CWPPERT736IJY5H5V67NH,AXFTXWW2B0Y5B,Approved,Thu Apr 25 12:37:09 PDT 2019,Thu Apr 25 12:37:16 PDT 2019,Sun Apr 28 12:37:16 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,7,100% (87/87),100% (87/87),100% (87/87),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Jamie_693_Kyle_171.png,Similar pair,,
3NRZ1LDP7YQ6PPBJGA6RQN8PNYJZPH,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3WLEIWSYHR1QTH8CYTUAINRD83A2HM,A2E1Q8YL50CMD0,Approved,Thu Apr 25 12:35:10 PDT 2019,Thu Apr 25 12:35:18 PDT 2019,Sun Apr 28 12:35:18 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,8,100% (14/14),100% (14/14),100% (14/14),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Jamie_693_Kyle_171.png,Dissimilar pair,,
3M7OI89LV08L7QI490NA9PGNJB8C6Q,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,32KTQ2V7RGZNLFUMAZP2KF7NVVJ9MU,A1X2TCTMSKB1JX,Approved,Thu Apr 25 12:34:22 PDT 2019,Thu Apr 25 12:36:18 PDT 2019,Sun Apr 28 12:36:18 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,116,100% (35/35),100% (35/35),100% (35/35),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Gabriel_466_Natalia_5.png,Dissimilar pair,,
3M7OI89LV08L7QI490NA9PGNJB8C6Q,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3G5W44VEUA27A1HR3TIWXJ16A3JGKN,A2AUMGW4F3G1OF,Approved,Thu Apr 25 12:36:03 PDT 2019,Thu Apr 25 12:36:11 PDT 2019,Sun Apr 28 12:36:11 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,8,100% (102/102),100% (102/102),100% (102/102),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Gabriel_466_Natalia_5.png,Similar pair,,
3M7OI89LV08L7QI490NA9PGNJB8C6Q,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:29 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:29 PDT 2019,,,3LEP4MGT3JK35E36VQ4VSVFJAHUBDO,A1CC8JF57E7OIJ,Approved,Thu Apr 25 12:35:56 PDT 2019,Thu Apr 25 12:36:08 PDT 2019,Sun Apr 28 12:36:08 PDT 2019,Fri Apr 26 00:36:01 PDT 2019,,,12,100% (1/1),100% (1/1),100% (1/1),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Gabriel_466_Natalia_5.png,Similar pair,,
39RRBHZ0AWLJU98F2MFQWFX79MKZV2,39WEDTMWD81EF5HJVXXMJA9OMPSVXA,Visual face similarity,Look a pair of faces from different persons and determine whether they look similar or not. Label them with similar or dissimilar pair according to your judgment.,"categorize, image, face, label, similarity",$0.01 ,Thu Apr 25 12:31:35 PDT 2019,3,BatchId:3620762;OriginalHitTemplateId:928390873;,10800,259200,Thu May 02 12:31:35 PDT 2019,,,3AAPLD8UCF1KDG2PH8E6JA038GMTH4,A1M9HUOS9S8A15,Approved,Thu Apr 25 12:33:35 PDT 2019,Thu Apr 25 12:33:43 PDT 2019,Sun Apr 28 12:33:43 PDT 2019,Fri Apr 26 00:34:53 PDT 2019,,,8,100% (179/179),100% (179/179),100% (179/179),https://s3.eu-central-1.amazonaws.com/chenyang-master-thesis/Evan_438_Abby_499.png,Dissimilar pair,,
